name,geometry,lat,lon
Darbar,POINT (73.0338617 33.6882881),33.6882881,73.0338617
Al Usman Restaurant,POINT (73.0317197 33.6899531),33.6899531,73.0317197
Hubba Bubba Eat & Chill,POINT (73.0323284 33.6899851),33.6899851,73.0323284
Anarkali,POINT (73.0327431 33.6901137),33.6901137,73.0327431
تندوری,POINT (73.0061577 33.6867378),33.6867378,73.0061577
Serai Bistro,POINT (73.122402 33.7318576),33.7318576,73.122402
Nirvana Lounge,POINT (73.0881298 33.7223405),33.7223405,73.0881298
Umania Restaurant,POINT (73.171204 33.7353075),33.7353075,73.171204
Mr. Cod,POINT (73.0877828 33.7260913),33.7260913,73.0877828
Fijji's Grill,POINT (73.0866252 33.7254731),33.7254731,73.0866252
BBQ Tonight,POINT (73.0866065 33.7252265),33.7252265,73.0866065
Shenwari Foods,POINT (73.084277 33.7238252),33.7238252,73.084277
Hamza Food,POINT (73.0833041 33.7237682),33.7237682,73.0833041
Abbasi Restaurant,POINT (73.0827422 33.7231617),33.7231617,73.0827422
Usmania Restaurant,POINT (73.0779117 33.7209365),33.7209365,73.0779117
Ramna Restaurant,POINT (73.076643 33.7202601),33.7202601,73.076643
Shah Restaurant,POINT (73.0773636 33.7203566),33.7203566,73.0773636
Chef Mehbobs Kitchen,POINT (73.076503 33.7201748),33.7201748,73.076503
Raza Restaurant,POINT (73.076701 33.7200527),33.7200527,73.076701
Salt n Pepper,POINT (73.0754343 33.7193565),33.7193565,73.0754343
Omar Khayyam Restaurant,POINT (73.0738577 33.7187113),33.7187113,73.0738577
Go Organic,POINT (73.0737336 33.7198012),33.7198012,73.0737336
Halwa Puri,POINT (73.0843474 33.7172481),33.7172481,73.0843474
Royal Afghan,POINT (73.0855873 33.717815),33.717815,73.0855873
Phajja Siri Paye,POINT (73.0849384 33.7176107),33.7176107,73.0849384
Taste & Taste,POINT (73.0846689 33.7169045),33.7169045,73.0846689
New Raja Restaurant,POINT (73.0849712 33.7167883),33.7167883,73.0849712
Avari Tower Isl,POINT (73.0860537 33.716133),33.716133,73.0860537
منچیز,POINT (72.9728583 33.6996334),33.6996334,72.9728583
پیزا ہٹ,POINT (72.986489 33.6840968),33.6840968,72.986489
TGI Friday's,POINT (73.0502264 33.7079219),33.7079219,73.0502264
Pappa Roti,POINT (73.0494673 33.7075493),33.7075493,73.0494673
China Town,POINT (73.0492337 33.7077879),33.7077879,73.0492337
Lavender,POINT (73.090843 33.7181613),33.7181613,73.090843
Ravi Restaurant,POINT (73.0893162 33.7083527),33.7083527,73.0893162
Irum Hotel,POINT (73.0890661 33.7082225),33.7082225,73.0890661
