,name,lat,lon
132,KHAN RESTAURANT,33.6836422,72.9910535
133,Jayson Group,33.6733844,72.98663
134,Mashallah Ravi,33.670912,73.0162908
135,Norani Restaurant,33.6711051,73.0166449
136,Usman Restaurant,33.6711184,73.0167937
137,Rehmania Restaurant,33.6716832,73.0177205
138,Fancy Catering And Party Dacotors,33.674948,73.0149653
139,Khan Shinwari,33.675229,73.0153325
140,Chunga Restaurant,33.6771834,73.0173311
141,Burn Chilli,33.6771527,73.0172399
142,Al-Rehman Restaurant,33.6949647,72.9993502
143,Italian Oven,33.6955502,73.0136137
144,Toosoo Restaurant,33.6954855,73.013656
145,Orient Restaurant,33.6943654,73.0134683
146,کینٹکی فرائیڈ چکن,33.6942271,73.0132048
147,Sufi Restaurant,33.693319,73.0151834
148,Peshawar Shinwari,33.6932216,73.0149678
149,孙芸旅馆 Restaurant,33.6862838,73.0112525
150,چینی محبت,33.713897,73.0339955
151,Lavista Cheese,33.7135192,73.0338979
152,Huaxiaqing Restaurant,33.7140229,73.0342055
153,خصوصی گرم برتن,33.7155204,73.0364167
154,Chinese Restaurant,33.717214,73.0378757
155,Daily Meal,33.7192009,73.0431634
156,چوانکسنگ ہوٹل,33.7135207,73.0486339
157,Abbasi Restaurant & Naan Shop,33.7166856,73.0423338
158,نیو اورینٹل سنکیانگ ہوٹل,33.7131327,73.0450624
159,Chinese Restaurant,33.7054345,73.0422228
160,Haleem Ghar,33.7119851,73.0388392
161,Lahori Tikka & Take Away,33.7106399,73.0384334
162,Lodhi Restaurant,33.7109253,73.0410308
163,Mister Naan & Restaurant,33.7091354,73.0460692
164,Mashallah Restaurant,33.7088643,73.0460494
165,Texas Steak House,33.7275103,73.0476565
166,Char Grill Central - CGC,33.7264413,73.0576451
167,Mr Chips,33.7195471,73.0537104
168,MJ's Bakery & Coffee House,33.7194022,73.0553382
169,Kabul Restaurant,33.7211618,73.0561589
170,Captain Cook's,33.7217562,73.0573952
171,PlanC,33.7218302,73.058805
172,Tiramisu Restaurant,33.7214809,73.0592852
173,Yummy - 36 Restaurant,33.7229255,73.0596366
174,چینی ہوٹل,33.7116171,73.0551622
175,Urumqi Muslim Restaurant,33.7164252,73.0568212
176,Lahore Restaurant,33.7149284,73.0201208
177,The Lounge,33.7170618,73.0111877
178,Dragon City Chinese,33.7106538,73.0585112
179,Domino's Pizza,33.7110768,73.0593078
180,Wang Fu,33.7109178,73.0594997
181,Jahangir Restaurant,33.7121005,73.0610957
182,Red Onion,33.7121982,73.061267
183,Karachi Restaurant,33.712023,73.0623767
184,Italian Pizza,33.7153099,73.0685093
185,Hotel Blue Sky,33.7066071,73.0676033
186,Oshal Restaurant,33.7068844,73.0688853
187,Taste and Take,33.704967,73.0678723
188,Madina Restaurant,33.7052156,73.0676948
189,Food Street,33.705164,73.069478
190,Hungers Hut,33.7054761,73.0734845
191,Hotel Al-Umar & Restaurant,33.7034937,73.072011
192,Lassi Dhaba,33.703386,73.07178
193,عباسی ریستوراں,33.6991011,73.0710786
194,Murshid Ji Restaurant,33.6982509,73.0695135
195,New Bukhara Restaurant,33.6967306,73.0492768
196,Abbasi Restaurant,33.6972047,73.0497192
197,Lavish Dine,33.6989125,73.0481392
198,Kabuli Restaurant,33.6988713,73.0480365
199,Shah G Foods,33.6993365,73.0495761
200,Raja Resturant,33.6896327,73.0541399
201,Ali Restaurant,33.692562,73.0576695
202,Kandahar restaurant,33.6674075,73.073303
203,Haleem Ghar,33.7101662,73.0575666
204,al ghazal restaurant,33.6468411,73.0371591
205,Royal Elephant Thai Restaurant,33.73241,73.0868684
206,New Al Madina Shenwari Tikka & BBQ Jhangi Syedan,33.6236974,72.9513135
207,Tanoor,33.5348796,73.1710833
208,Pizza Shop & Fried Chicken,33.7123089,73.0526834
209,Ali Hotel and Restaurant,33.4816074,73.1968426
210,Epic Fish and Shinwari,33.645394,72.9784558
211,Chattha's,33.6908182,72.9996804
212,Royal Biryani House,33.6508812,72.9715403
213,Hot N Spicy,33.6502398,72.9711417
214,Awami Resturant,33.6504572,72.9708979
215,4 Season Foods,33.6500266,72.9708299
216,Naan Village,33.6452551,72.9640507
217,Biryani Center,33.6453578,72.964018
218,Masala Rasoi Resturant,33.6450705,72.963704
219,Bismillah Naan Center,33.6451517,72.9635471
220,Lala Ayub Khokha,33.6678868,73.0080422
221,Haseeb Hotel,33.6683407,73.00701
222,Dastarkhawan Fesabil Allah,33.678356,73.0003394
223,Karachi Eman Biryani,33.6689128,72.9999623
224,Silver Bistro,33.6682465,72.9967649
225,Mansoor Restaurant,33.6700612,72.9988429
226,Bannu Gull,33.6680461,72.9972464
227,Bismillah Shinwari Restaurant & BBQ,33.6671348,72.9979106
228,Hot n Spicy Chinese Cuisine,33.6689635,72.9977943
229,Zeeshan,33.667498,72.9974215
230,Eat n Shake,33.6679811,72.9980387
231,Hakka Bakka Chinese Takeaway,33.6738514,73.0150979
232,Rang Mahal,33.6765444,73.017076
233,Shah Ji,33.6756531,73.0160172
234,Capital Delights,33.6692891,73.0112652
235,Zaika Des Des Ka,33.6699164,73.0123233
236,Al-Inaab Lebenese Kitchen,33.675314,73.0140455
237,Chinese Restaurant,33.6815494,73.0100219
238,Foody Moody,33.687253,73.0323677
239,Abdul Shakoor Afghani Burger,33.6926222,73.0383822
240,Okara Dairy,33.6862891,73.0429663
241,Original Afghani Burger,33.6862931,73.0427001
242,Delight Afghani Burger,33.6863858,73.0424938
243,Lahore,33.685858,73.0442858
244,Khyber Shinwari,33.6852419,73.043996
245,Sufi,33.6856972,73.0448128
246,Karachi Student Biryani,33.6849182,73.04252
247,Bhallu Burger,33.6859752,73.0454083
248,Purana Khyber Shinwari Restaurant,33.684737,73.0419916
249,Shani Chips,33.6922174,73.0297317
250,Careem Dhaba,33.6900081,73.023841
251,Rab Nawaz Khoka,33.682039,73.013204
252,Shinwari,33.6701546,73.0144669
253,Karachi Naseeb Biryani Catering Centre,33.6710264,73.0168759
254,Zahid’s Barbecue Fish & Chicken,33.6753692,73.0139459
255,Darraywal Afridi,33.675137,73.015383
256,New Madina,33.675732,73.0147558
257,Nasir’s Dhabba,33.6770264,72.9997077
258,Dera Khyber,33.6684058,72.9991606
259,Amigos Cuisine,33.668427,72.9995464
260,Foodball,33.6833895,72.9879082
261,Sliders,33.6932767,73.0154946
262,Burgers etc.,33.7205459,73.0572707
263,Chinese Resturent,33.6533077,73.0312273
264,Ha Pi Restaurant,33.6839944,72.9865641
265,Shinwari Hotel,33.6297413,72.939194
266,Asian Pulao,33.5991,73.154559
267,Gulshan Roll In And Fried Chicken,33.6689582,73.0760074
268,"China Town, Jade Cafe",33.6684365,73.0754426
269,Healthy Refreshment Center,33.6687346,73.0759547
270,OPTP i-8,33.6684921,73.0754593
271,The Pizza Guys,33.7296326,73.0763698
272,Chiki Panda,33.5716143,73.1457992
273,Ark Builders,33.6965389,73.0516439
274,Butt Kerhai  Tikka F-8 Markaz,33.7108709,73.0393894
275,Five Diner,33.7229203,73.0593075
276,wild wings,33.5299923,73.1663261
277,Pizza Hut,33.5296972,73.1657199
278,Costa Rica,33.530122,73.1658755
279,Fredrigo's Pizza,33.7211881,73.0589141
280,Al-Madina Restaurant,33.6243846,72.9699514
281,MashAllah Restaurant,33.6231959,72.9705693
282,Colorado Kitchen,33.7001939,72.9737272
283,Pappasallis Pizza,33.6479618,72.9676382
284,Monal restaurant,33.76013,73.0657831
285,Tahir Khan Restoran (TKR),33.6952113,73.0758928
286,Tuscany Courtyard,33.7355212,73.078235
287,Chop Chop Wok,33.7306203,73.079258
288,Planc,33.72178,73.0588734
289,Kim Mug,33.7212312,73.0587079
290,CCC Club Grill Central,33.7261224,73.0579042
291,Quetta Restaurant,33.6261791,73.1599894
292,Khayber Naan Center,33.6261804,73.1599343
293,Quetta SK Hotel,33.6294502,73.1172644
294,Al Jawad International Hotel & Restaurant,33.6294727,73.1173684
295,Baoo jee Murgh Pulao,33.629499,73.1175387
296,Zia Balti & BBQ,33.6990715,73.0648387
297,Haleem Ghar,33.7102435,73.0577235
298,The Smokey Cauldron,33.7296699,73.0770447
299,Restaurant bbq 30 rupee 2023,33.630145,72.9411161
300,Smokey cheese,33.7234527,73.0587904
301,"TKR Restaurant, Taramri",33.6416835,73.1576357
302,Baoo Jee Murgh Pulao & Restaurant Tarlai,33.6391176,73.1543144
303,Afghan Tikka & Plau House,33.6563341,73.0556256
304,LIT,33.5295998,73.1660938
305,Quetta Ketli,33.5309196,73.1574368
306,Terrace BBQ,33.5329201,73.1649482
307,Khoka Khola,33.5311259,73.1596027
308,Nazir Foods,33.6853683,73.0438551
309,Khabbay Ki Saji,33.6687307,73.0767044
310,Hey! Pita,33.6687619,73.0769074
311,Cafe Grill,33.6688395,73.0765483
312,Cheezious,33.5655266,73.1292383
313,Embassy Lodge Hotel and Marquee,33.664124,73.1540576
314,Aanch Restaurant,33.7300793,73.076954
315,Quetta Tea & Tea,33.6947303,73.0127172
316,Punjab Milk Shop,33.6913354,72.9991914
317,Punjab Milk Shop,33.6905803,72.9987549
318,Noorani Restaurant,33.7110292,73.0382394
319,Butt Karahi Tikka,33.6694073,73.0749976
320,Cheezious I-8,33.6685775,73.0750649
321,Rendezvous Xpress I8,33.6674117,73.0747194
322,foodo,33.668785,73.0005911
323,Jacaranda Family Club,33.53422823797703,73.16345610100475
324,Food Street,33.71744349915011,73.08499031869066
325,The French Club 21,33.723215012986486,73.11545038764908
326,Cordon Rouge,33.72630729951681,73.12173321628521
327,Restaurant 360,33.655837646351706,73.15527901641637
328,Tikka Mehal,33.545456348020075,73.18701028910971
329,La Montana Restaurant,33.760449988639216,73.06660055672957
330,New Stylish Restaurant,33.655669400365746,73.05388686443693
331,Java Hotel,33.65648765986861,73.05549537200082
332,Haleem Ghar,33.6616087,73.0663438
333,New Stylish Restaurant,33.661090581156,73.06665291850766
334,Nandara,33.69906794689322,72.98623211406523
335,Des Pardes,33.703821718264585,72.97912134753108
336,Peng Wings,33.70040911763731,72.97314134368932
337,Des Pardes,33.74426654078481,73.06780013989999
338,Cafe Macaw,33.68663132126848,73.21005796151336
339,New Mess Hall,33.52106689407176,73.17432857582666
340,Quaidian Hut,33.74427164577051,73.13297632790395
