name,geometry,lat,lon
NESCOM Hospital,"POLYGON ((73.0168688 33.6481732, 73.0171678 33.6483264, 73.0172793 33.648185, 73.0170015 33.6480259, 73.0168688 33.6481732))",33.64817701422851,73.01707697323195
darbar golra sharif,"POLYGON ((72.9758895 33.6905689, 72.9755193 33.6904327, 72.975227 33.6908545, 72.9755488 33.6909929, 72.9758895 33.6905689))",33.690709024891326,72.97555002315417
darbar golra sharif,"POLYGON ((72.9742888 33.6907456, 72.9744169 33.6906206, 72.9750178 33.6901317, 72.9752519 33.6902346, 72.9745936 33.6908485, 72.9742888 33.6907456))",33.69049921582294,72.9747715455041
ASG Parking,"POLYGON ((72.9589371 33.6232106, 72.9590875 33.6232271, 72.9592995 33.6236495, 72.9590847 33.6236166, 72.959107 33.6235377, 72.958661 33.6234683, 72.9586798 33.6233656, 72.9586181 33.6233522, 72.958632 33.6232765, 72.9589098 33.6233232, 72.9589371 33.6232106))",33.6234145720901,72.95897128204871
F-9 Park Kid's Play Zone Parking,"POLYGON ((73.0210875 33.7100927, 73.0198316 33.7094092, 73.0193845 33.7091738, 73.0196512 33.7087741, 73.019324 33.7086313, 73.0196941 33.7081672, 73.0200106 33.7083234, 73.0201286 33.7082163, 73.0209923 33.7086135, 73.0209118 33.7086804, 73.0214375 33.7089571, 73.0212122 33.7092516, 73.0215717 33.7093855, 73.0217862 33.709091, 73.0225587 33.7095194, 73.0219257 33.7102468, 73.0214054 33.709979, 73.0212793 33.7101634, 73.0210875 33.7100927))",33.709240961686156,73.02081408219107
Metro Car Parking,"POLYGON ((73.0244592 33.6399755, 73.0253363 33.6388322, 73.0261088 33.6392185, 73.0251861 33.6403797, 73.0244592 33.6399755))",33.639599455524355,73.02527645122902
Centaurus Mall Parking,"POLYGON ((73.048419 33.7076289, 73.0476236 33.7072296, 73.0477073 33.7071251, 73.0480534 33.7072899, 73.0481902 33.7071158, 73.0483939 33.7068209, 73.048539 33.7066863, 73.0482516 33.706482, 73.0482544 33.7064402, 73.0482264 33.70641, 73.0483576 33.7062475, 73.0498508 33.7070438, 73.0497698 33.7071321, 73.0496414 33.7071297, 73.0495622 33.7070913, 73.0494882 33.7070554, 73.049421 33.7070229, 73.0494126 33.706944, 73.0491307 33.7067931, 73.048673 33.7073967, 73.0486283 33.7073758, 73.048419 33.7076289))",33.706969512185886,73.04863503496804
Parking Area,"POLYGON ((73.108833 33.543254, 73.1092101 33.5447552, 73.1096411 33.5446874, 73.1103322 33.544945, 73.108714 33.5458088, 73.1093709 33.5466933, 73.1118898 33.5445624, 73.1117768 33.543919, 73.1102208 33.5443216, 73.1096629 33.5431278, 73.108833 33.543254))",33.54481468476098,73.11009718387892
ICT Administration Office Parking,"POLYGON ((73.0107547 33.667428, 73.0112006 33.6668153, 73.0120571 33.6672277, 73.0118448 33.6673809, 73.011328 33.6673809, 73.0109529 33.6675164, 73.0107547 33.667428))",33.667202330698366,73.01135395535239
High Court Parking,"POLYGON ((73.0140766 33.6691638, 73.0145203 33.6685225, 73.015104 33.668814, 73.014637 33.6694553, 73.0140766 33.6691638))",33.66898763185441,73.0145862580125
Baba Yasin,"POLYGON ((72.8878529 33.641253, 72.8879616 33.6411862, 72.8878356 33.6411286, 72.8877269 33.6412294, 72.8878529 33.641253))",33.64119660809848,72.88784348161927
Central Library Parking,"POLYGON ((72.9920307 33.6415459, 72.992487 33.6415356, 72.9928649 33.64161, 72.9930394 33.641693, 72.9929388 33.6418232, 72.9924835 33.6417082, 72.9920571 33.6417251, 72.9920307 33.6415459))",33.641655628035586,72.99252228104255
Isra Appartment Parking,"POLYGON ((72.9995897 33.6431423, 72.9996653 33.6430527, 72.9998051 33.6431233, 73.0000709 33.6427588, 72.999883 33.6426577, 72.9997065 33.6428619, 72.9995094 33.6427646, 72.9993284 33.6430012, 72.9995897 33.6431423))",33.64291641639298,72.99970448357317
Executive Car Parking,"POLYGON ((73.1555843 33.6487416, 73.155549 33.6487093, 73.1555779 33.6486942, 73.1555504 33.6486607, 73.1554867 33.6485965, 73.155476 33.6485789, 73.1554486 33.6485532, 73.1554309 33.6485417, 73.1557857 33.6482928, 73.1558913 33.6482206, 73.1561414 33.6480494, 73.1562424 33.6479822, 73.1562276 33.6479618, 73.1563564 33.6478759, 73.1564462 33.6479987, 73.1565562 33.6481148, 73.1565903 33.6481511, 73.1562417 33.6483531, 73.1558843 33.6485675, 73.1555843 33.6487416))",33.648312086899416,73.15602070438398
SADA Parking Lot,"POLYGON ((72.989437 33.6462017, 72.9885054 33.6465777, 72.988694 33.6469015, 72.9896427 33.6465187, 72.989437 33.6462017))",33.646550376260656,72.98907009269078
