,name,lat,lon
0,Melody Food Market,33.7181471,73.0850592
1,Melody Market,33.7168084,73.0845654
2,Savour Foods,33.7131887,73.063979
3,فاطمہ جناح پارک,33.6962509026752,73.01625316715938
4,Trail 3 Parking,33.742200105462366,73.08166568636219
5,Jahangir Parking,33.69228354108817,73.029991606844
6,Karachi company,33.68883047875417,73.03272017944768
7,Pakistan Monument Parking,33.693758644484674,73.070740152615
8,Genral Car park,33.62301860175303,72.95508780162942
9,Blue Area Car parking,33.7153036795118,73.06780121773042
10,NICE parking Area,33.6412314651093,72.98485926693701
11,SEECS Car parking,33.64318700926675,72.98962820637658
12,IAEC & RIMMS Car Parking,33.64409974574954,72.98717340403928
13,IGIS Parking,33.64511021064328,72.98873894070894
14,New Igis Parking,33.64520649121432,72.98807531667435
15,NBS,33.6444404877108,72.99058197205883
16,Shakar Parian,33.69469707081981,73.07459890040666
17,C2 Parking,33.6422775310321,72.98807517358911
18,darbar golra sharif,33.691897892692154,72.97588863825719
19,ITP License office parking,33.705201055340304,73.03275340594918
20,Fatima Jinnah Park,33.708136173584585,73.0285166802656
21,Zoo Car parking,33.73344098090786,73.0605428759647
22,NESCOM Hospital,33.64817701422851,73.01707697323195
23,darbar golra sharif,33.690709024891326,72.97555002315417
24,darbar golra sharif,33.69049921582294,72.9747715455041
25,ASG Parking,33.6234145720901,72.95897128204871
26,F-9 Park Kid's Play Zone Parking,33.70924096168616,73.02081408219107
27,Metro Car Parking,33.639599455524355,73.02527645122902
28,Centaurus Mall Parking,33.706969512185886,73.04863503496804
29,Parking Area,33.54481468476098,73.11009718387892
30,ICT Administration Office Parking,33.667202330698366,73.01135395535239
31,High Court Parking,33.66898763185441,73.0145862580125
32,Baba Yasin,33.64119660809848,72.88784348161927
33,Central Library Parking,33.641655628035586,72.99252228104255
34,Isra Appartment Parking,33.64291641639298,72.99970448357317
35,Executive Car Parking,33.648312086899416,73.15602070438398
36,SADA Parking Lot,33.646550376260656,72.98907009269078
